sentence,label
 i don`t have any excuse other than night shifts! we got our orphan lambs from a local farmer so we cheated,0
just cried all the way through the final episode of ER... and the `previously on ER` documentary about it!,0
tonights been boring!,0
 doesnt work already,0
 http://twitpic.com/4nbx4 - great photo! bravi! we are looking forward for the upcoming pilot in Italy too,1
  that`s the worst dream ever. weird to think all of those thoughts are in your subconscious.,0
going to bed. good night everyone! i love you all (or should i say good morning?)  sweet dreams,1
 i am a bit more curious: how much did you pay for it?,1
"Browsing through the web. And expecting to see the PMS forum back up, but no luck",0
 i totally owe you a week of on-call duties.  i appreciate not having those while jill is in town,1
becoz of leg sprain nta ble to do proper wrkouts. Worried shud dis hapen wen i satrted dieting...,0
" it`s a modded 360, so you can`t send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.",0
Can`t believe preseason doesn`t start until August  football with drawls..,0
"I think my bicycle and I just freaked out a custodian, who wouldn`t have let me in the building if I didn`t let myself in with a key",0
I honestly feel like I`m not healing or getting any better. This is not good,0
I love when i have time for starbucks,1
is envious of people not in long-distance relationships...she`s all mushy with no one to cuddle.,0
PUSH was amazing,1
 ZOMG SO CUTE MATT. **** thats a good movie,1
" I have yet to understand any sentence u have ever typed,but it`s kinda fun-like learning a foreign language&I love to quote u.",1
"_RICHARDS A man loves his sweetheart the most, his wife the best, but his mother the longest. Happy Mother`s Day",1
Late news then it`s off for some much needed zzzzzzz.......Goodnight Tweets.,1
i wish people would leave jon & kate alone  i really like that show,1
 i`m fine thanks  wbu?,1
 I second this !!,1
 2002 - the TSX is nice just cuz it`s a new car- handles nice but doesn`t have the horses of the TL-S,1
" Kewl, I only got my iPhone and gotta hope it lasts all weekend  Only got a shuffle, might bring that anyways... See ya 8am!",1
" I`m suffering from the Internet that works bad, only sites hosted on russian servers are available for me",0
"On way to exam, very very nervous  bah",0
 Oooh! goodluck for the rest of them,1
Ugh.  Las #vegas airport is at a 'ground stop' which means I`m stuck in the plane on the tarmac (again) at LAX.,0
_STYLE  I like it,1
Good Monday morning to everyone- Hope everyone`s week is off to a successful start,1
Morrningg  just slept for 12 hours and now i have a headache D;,0
is crying..because the school years over  i wont get to see my teachers!  i wont get to see johnathan.......,0
 LOL. You know me. I aim to please.,1
Adobe After Effects and MS SQL Server...nice. would it be nicer if I just sleep?,1
 so my son is not the only one!  that`s really nice to know.  he really is good at being three. and dh will be late today,1
 good luck with you finals!!!,1
" Hey Luis, thanks!  I have Flash and my prof`s code to thank for that.  *cough*",1
" Yeah, it`s good! If you`re not going to use it, give it to me! I want to watch Star Trek",1
I Love the lady from the Progressive commercials she`s so funny,1
not eating lunch with my wife like I wanted to,0
Guten Morgen/ Good Morning/,1
Going to the alley tonite..Happy Birthday prima,1
I failed my maths exam today. fxxxmylife,0
Mortified. could lose my job,0
_tall_blonde   ~~Hello~~~  and thanks for the follow.,1
I ruined my lunch by eating half a bag of cheddar popcorn....now I feel sick.,0
"**** it, the guys aren`t at #comet09  I hope they win though",1
"is in skwl now, and i dont really wanna study.. i saw him --> J***I and makes me feel down..",0
 Now that sucks...  P?i ?i s? ï¿½n?eleg c? Jay Leno nu va mai avea o alt? emisiune sau ceva?,0
Looks like I got a new job,1
I saw nomes on twitter  but I`m still not waking up,0
 lol i wos gona send mine in bt i was too late  ****,0
trying to fix my internet connection...guess my `prayers` have been answered and i wont have any study distractions  ugh,1
it`s after 3 AM.!!  I think it`s time to bed.!!  have a good night twitts.! ;)),1
Cruising 'Serious Eats NY' does not bode well for a future in GA. Missing NYC gastronomical tour..  http://newyork.seriouseats.com/,0
May the forth be with you .....,1
no more arrested development. i am sad.,0
 fickleness seems appropriate for a Twitter user,0
Gatorade first thing in the morning = yumyum  feeling shattered but must arise and revise for IT tomorrow.,0
its so sad when the dad dies  hakuna matana it means no worries for...,0
"All you moms, get ready to enjoy your much-deserved special day!",1
 nooooooooooooooo! well the 4G will prob be out in June but that doesn`t help u now,0
"Sighs, well I accidentally clicked back space on my mouse",0
This may sound stupid... but i just bought a mask,0
 I`m sure Mayor Brainard will be thrilled to hear that you`re a fan.,1
 my fav CD,1
" you hate her, I love her.  presentation got cancelled. I got up at 0600 and went in to work today for this pitch !",0
" lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me..",0
 That sounds cool! And you`re paying - even better,1
 awww. its cool. i ate too much ice cream,1
  yess... it`s awesomee.. and u can follow ur love molly hahah....  now u can chat with us here!,1
 its ok mate I stayed in as well  losers aren`t we,0
 I wish I was in va too,1
 thanks  ****,1
sleep sounds good right about now,1
going to bed cuz i have to get up at like seven thirty or something tomorrow. today was actually not that bad of a day.,1
 Great Podcast!  I wish you guys had more Chi shows this summer.  The only times I will see you will be at Alpine,1
I don`t think my friends like me anymore  (via #zenjar ),0
says headache  http://plurk.com/p/wydaf,0
Congratulations to Manny 'Pacman' Pacquiao! You`ve made every Filipino proud of being a Filipino!,1
 awww sowy shortie,0
Feet hurt...finally in bed...will not forget this crunch when it`s over...very very productive day today though,0
 lol that`s great  For you.,1
Youtube isn`t working...and I wanted to watch Britains Got Talent.  I`m debating about having a pity party.,0
 gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,0
The mission to Wales to find the worlds greatest welsh cake with  was a success - as none are better than my nan`s,1
FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot,0
Trying to get some work done not too happy about work situation,1
_de_B You have to email her - she only gets what people want in so they aren`t on the site. Shame about the trousers,0
" Ashotn looks great, and you look fantastic as always! You two still have the newlywed glow, and that`s forever.  TRUE LOVE",1
8:30PM... it has just hit me i have school tomorrow :O ahaha! I`ll stay on til 9 i think  ****,0
 Thanks hun! Next time we`ll all go again,1
umm...why will it not let me change my background?! im twitter-challenged.,0
Sitting in the KAUST offices. Sun is shining and surrounded by busy people... ace,1
" that was a really good interview to read, really enjoyed it  x",1
this phyllis hyman unsung story is so SAD,0
HAppy Mother`s Day to my Mom...that lady is the coolest  I love u ma!,1
Can`t believe those idiots buzzed out the juggler.,0
charbotgreen has been suspended  'unusual activity??',0
My assistant had me watch The Notebook. I miss Deborah,0
 My neighbour is fond of loud Nickelback.,1
" Good morning! Nothing in particular, meeting people and having drinks this evening  what are you doing with your Monday?",1
I just lost my favorite pen  good thing I have a back up =D,0
"Got fully denied tonight  sleep time now, lnd in morn!",0
   too bad Vo got me sick I think  & I don`t even have meds to feel like you.,0
i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho,0
home sweet home? i think no! huaaaa,0
 I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,1
"_twnzfinest Happy birthday, sweetie. Have a great day in the best place of the word (sorry Chicago  jeje",1
 I just read your twitter bio. Love it. Very clever and cute. I`m all about smiles.,1
goodbyeeee Arizona. See you in 3 weeks.,0
LOVES that lubbock is wet..its about time..no more strip runs,1
Rey Mysterio is so awesome,1
 just going through some of his tracks in iTunes and buying his awesome tracks I don`t have. Loving it,1
I`m way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo,1
 i know they r lol i hope she does she said she will,1
 i know im inlove with   actually..,1
" just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",1
 Would be nice if he did,1
"OOOH,  i have a question for you all. DOES YOUR CHAIN HANG LOW?  idk! sorry!",0
:  She`s going to beamer for the rest of high school. i`m so sad. there will be no more prn journal.,0
12:06am and my 'him' is officially the 1st one to say Happy Mother`s Day to me   I love it!!!,1
 Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!,1
"And, I`m accumulating money again, so I can use a fancy finance app. Thinking of getting another CD or an IRA.  saving for a house. crazy!",1
watching freo on a sunday arvo is a good hobby,1
"  I read somewhere they were restoring the name, hope it happens soon",1
  - I always appreciate your 'musings.',1
 Ah lol okay. Thanks,1
The horoscopes website I use has all changed around  I like it!,1
 Hope you`ll be able to join us for future editions,1
So exhausted..can`t sleep. I don`t like these nights,0
  awww for me I just think she`s tooo young or just not ready for it - tis painful to watch her so upset,0
I would appreciate it if you would. I am a big Tim Kaul fan ya know,1
Not feeling comfortable with myself today,0
 Thanks for the morning laugh. You are just too funny,1
 Hahaha I miss Bradddd and all of the guys and KEITH.,0
Blocked the acct for one of my most hated sports teams. That felt really good.,1
 Fail.    If you fancy a pit stop and a cuppa you know where I am!  lol,0
" thank you, god bless im going to eaat my in in out",1
 I miss you too!!   And don`t say 'damn'!!!  lol,0
Maybe I`m lacking in Friday feeling cos more of my trousers won`t go on  Thunder thighs!,0
"I`m a bit late, but the new twitterific interface for the iPhone is very cool, oh and Richie and Lauren on their engagement",1
" ROFLMFAO!!!! You love us better, don`t you!",1
 http://twitpic.com/2sw4v - i love BOTH your hairsss,1
  Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother`s Day gift.,1
_y_Tony and didn`t bring me any????  You suck,0
  thanks,1
"Goodnight. Actually, great night. Seeing Daniel tomorrow!",1
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",0
"i think i just about have all my info syncing properly between my mac, mobile me, and iphone. yay! finally",1
" I don`t use it, but I heard that PowerShell is nice",1
" Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",1
hates continually getting sick whenever he has exams,0
@_anniemay OMG No fair,0
I`m feeling so frustrated...I just can`t get things to work!!,0
My dreams have been crushed...Spock does not like the ladies.,0
 oh haha thanks again! that`s something new!,1
This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me & 1 held up a knife  scum!,0
"Getting Emilie in half an hour, should get up.... Have a nice day all! Talk later I hope",1
" Thanks for the heads up, Ethan. Watching it now",1
" Very. I`m ill and attempting to remember lots, and nothing is going in.",0
 awww Mary I wish I could come but I`m going away 2morrow,1
Wonders if I`m d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .,0
" bank holiday Mondays rock, particularly when they follow the kind of Sunday I just had",1
On twikini while enjoying the sun,1
Pissing annoying date stamp on all my pictures. Wish I`d remembered to turn it off.,0
there`s nothing worse than getting a text about a dog that was abandoned in your town,0
"Good thing is: They have a computer. Bad thing is: It blocks ALL VIDJAGAME SITES! Yes, even VGTribune.com is blocked!",1
Thanks  for shoutin out my mom today  She also says thanks!,1
time for bed.....got some learning to do tomorrow with an early start  night night good people ****,1
_Tarrant nice! It`s mommas day,1
My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day,0
"Brilliant day today, got the car washed and got a washing done! Just have to go to work in an hour",1
 I couldn`t find any extendable ones.,0
"we finally got our graduation gear today, i`m so excited. can you believe it? just 41 days left! aaah  and the sweater is so cozy",1
 Sorry but there is no parking space. And I just realized I didn`t delete one sentence doing copy&paste in that email,0
" --of them kinda turns me off of it all.  And then I buy more of them and dig a deeper hole, etc. ;;",0
listening to Lily Allen`s last album - it`s quite good,1
 awww. If I coukd send it from my phone I would. What kind of flair would you like?,0
"#web20 -- a good metaphor in democratic process: Truth is better served, not by transparency --  but by the opaqueness of private `Vote`",1
" I didn`t like the new Terminator movie, man",0
Shame I`ve gotto go to work,0
Evermore & End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later,0
 some great stuff on website today,1
Little one`s cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!,1
"Still unbelievably shocked about the firing of THE best radio personality, Martin Streek",0
Watching Oceans 11 in Vegas - seems so appropriate,1
" haha it`s ok. i really don`t like getting to other businesses so its Ok,",0
watching merlin omg he is cute,1
 People from England can watch this one  Thankyou,1
 My sister is graduating too & I can`t afford to buy here anything,0
"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.",0
 why go winchester when my sister doesnt go there any more!   bad times.. x,0
"I love the start to a fresh new week, `tis when I am motivated most",1
" that`s cool. Well if you need any more help regarding that, Google is your friend. Plenty of info on that!",1
 Thanks lady!!,1
no school today! that`s greeeeeat!,1
" have a great night, it was so nice meeting you last night! You are a sweetheart!  xoxoxo bye for now.",1
just got back from greenlake.  it was such a nice day today!,1
Sometimes people never learn to shut up and stop talking ****,0
"Has just finished uploading my latest chap  Finally! Now, off to watch the new HappySlip vid :3",1
dont get to see my boys tomorroww.im sad,0
Have a fantastic opening flower drummers!! From the ALL Asian cast and crew,1
 ME! oh wait wrong state,0
_newman i just called and it`s sold out.  bummer. next time!,0
Feeling so low and depressed that I`m not on holiday,0
 Just read that message about u being at Stephanie`s in Greensboro.....love it! I miss my home!,0
 You don`t reply to none of your fans ... I don`t know what trust,0
 Rude.,0
 I wish we could make a quick trip to LA in July  I miss LA,0
 ooops! the last link is the same as the first! sry my mistake,0
 That sucks! I`m going to be doing summer school.  Need to catch up on several units,0
 dude!!! wtf!! I text you this morning so that you can take care of me! so uncool..... it`s confirmed... you hate me,0
_Molotov Go much bamboo? Would you like to attempt to structure a sentence that makes sense? Why did i fail english and others pass?,0
Braxton was up at 2:30 untill 4am and now he won`t sleep more than 15 minutes at a time! It`s hard to be a mom on days like this!,0
Had a nice dinner with mom! I`ve started the chicken rolls. They are going to cook overnight. The rest I`ll do tomorrow.,1
60 days today  i can`t believe it`s been 2 months. i`m nervous about what i`m gonna say later. but i`m gonna keep comin back.,0
 OMG that dunk on Dampier was MASSIVE! Big ups!!! Love it...,1
"rcb trashes mumbai indians....  i feel bad for mumbai indians, they just didn`t know what hit him...",0
"oficially mother`s day! Hug & kissa Ur mom today more than U do everyday  cooking 4 her is a good idea, i`m making enchiladas suizas =]",1
"krys: running, mud baths and nice French food in napa w/ jimming",1
 I  have a visual.  I`m smiling.    see,1
Dakota just had a her first bath since being spayed... She was in Heaven!,1
 thank you! I really appreciate that babe,1
Dinner with the parental unit is always grand,1
 i love everrything from breadtalk  i would eat the whole place if i could,1
"it`s raining here  i`m stuck inside working today so i`d probably be peed off if it was sunny outside, i`m now ok with the rain",0
_grl love your new profile pic,1
 miss u more,0
justwatched the most depressing episode of Jon  Kate EVER!!!i actually almost cried.,0
finally Mike0hh`s birthday <3 can`t wait to **** ruin it,0
  you don`t love me anymore!,0
"going on a picnic with my dad - atleast i persauded him out of the idea of walking & cycling. yum, special k.",1
Its so **** hot! **** no air conditioning.,0
Had interesting WKND. Sleeping Saturday & Productive Sunday!!,1
gots a headache now,0
good morning twitterworld!  slept too less..,0
is watching the final episode of E.R  Goon SuBo 2 win Britians Got Talent,1
The new redesigned cricinfo : http://tinyurl.com/mxlcuv I hate change,0
 Cool show last night had me in fits,1
 Thanks for that,1
 0k...enjoy Dora the Explorer..  greetings to your niece!!,1
"i wanna move to england! 'ello, i must go to the loo. i will head to my caddy,yes.' gahaha and the awesome accent.",1
missing  on his birthday,0
" Not a fan of the Bulmers, but the Magners pear is AWESOME, I want slush puppy though!  #Hurryup #classy #omgimpatient!",1
"Music Update Before Leaving. Check out the songs Photograph by Air, Disco Friends by Just Jack, Stand Up by The Prodigy. And Enjoy!!!",1
 Nice...I`d like to be there...but it`s too far...  I`m from Brazil... kisses and have a nice day!!!,1
I wish i could sleep past four a.m. on my nights off  good morning!,1
new guitar hero metallica guitar is already broken  #fail,0
 Haha you`re welcome! I was honestly going crazy too. Have a great night as well,1
"Goooooodmoring , I don`t want to be up I am YAT   happy birthday again _aygee !",1
Gettin my cardio on right now. Walkin to the train station awww I so miss the gym,0
just thought of a spanish name that she will pretend to be one night out: Ariella Gonzalez. like It? don`t care because i do,1
i don`t know what i`m doing  i feel so empty LOLLL cheesy but true :/,0
 good luck going to sleep. i`m up working on a stupid paper. no worries. ur not alone.  so u ready to record that album or what?,1
Great new directory on Babysitterdirectory coming soon!  And its a directory with a twist.  All will be revealed next week!,1
"I`ve done nothing today apart from moan,whinge,moan",0
 but lorraine kelly is a sexy mama!,1
 wish i was rollin with ya,1
so had a freakin lond thursday  ready to hit the hay and surprise surprise I can`t freakin sleep :/ Boo!,0
sighs. where`s my candy,0
"About to pik out my hair, braid it up, scrub off my make up and relaxxxx.... tonight was fun",1
_127 glad you got a laugh out of it,1
 IKR?! My mom got it for me a birthday a few years ago. Tis the best,1
i feel like watching a disney movie...too bad we dont have a vcr anymore,0
"piecing a photo quilt for Boeing employees to be hung in Huntington Beach. Sadly, many people in the quilt pics are now laid off.",0
" thankyou sugaaar  btw I`ll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya",1
had an awesome day at the zoo yes2dy!!!!! now gettin ready 4 church  yay!!!,1
Was eating a tomato and it squirted all over me.,0
I think Ive buggered up my mobile  ack. I am a stubborn **** and refuse to get a new one.,0
"@_AislinnTighee bhaha, its a teenage nightclub and i am at home when im supposed to be there. they had no **** license. no more touch",0
 Bye!! Great meeting you!,1
A friend is someone who will help you move. A real friend is someone who will help you move a body,1
aww  you are too kind!! Hi sweetie! Are you guys out partying without me   I`m the only person who came to work 2nite lol,1
" Thanks! I have a Teflon liver (Being Scottish, I was raised on whisky)",1
" I asked mum bout going out tommorow, she laughed in my face lmao",0
"[Wrong!] #liesboystell Your the only one, I love (they really have several women)  http://tinyurl.com/nl6pct",0
I am so hungry...if my arm were on the core diet I would eat it!  Guess I have to wait until dinner is ready,0
Omigoodness I feel like a popsicle,1
goodmorning !,1
It`s too hot.  I don`t like it.,0
just fought with my printer...after 2 hours i claim victory... i hate electronics,0
Eminem`s new song 'Beautiful' is amazing!. Listen to the MAGIC right NOW!!  http://www.myspace.com/steve005,1
" Nice skillz Nick  x love always, Marjorie & Jemimah. Sydney, Australia.",1
"I like this bride`s sense of humor, she wore this wedding gown once...by accident!  http://bit.ly/Tnshf",1
Nothings better than having to take a cold shower in the morning,1
 she could have been a lost dog  poor girl,0
 whoa!! hahaha! wee going there in a bit! just watching Hugh Jackman`s interview at Oprah.,1
My student just walked in balling.  She just witnessed her dog getting hit on the street.  I don`t know what to do to cheer her up.,0
_sm I`ll have a look. Do you live in the centre of Glasgow? I was born on Bellshill & grew up in Bothwell. I miss Tunnocks pies,0
" I`m sorry, that stinks.",0
is wishing she would get more followers,1
I almost lost you again phone  silly indy,0
social was fun. Swam in the water in my boxers,1
Had a great night! Tomorrow is mothers day,1
One is not supposed to have a headache on a Friday. That`s just not right.,0
Sittin through this boring **** conference call... Then i get to go home n nap *{missin  alot  }*,0
 its ok..i was kinda feeling ignored anyway  And its sunday arvo 330pm. Going out for Lunch & WINE!,0
"_ omg and you never would believe what we did. ahaha, i loved it. but it felt like a movie, but REAL!!",1
"It`s Friday and sun is shining and its quite warm already, Just walked the dog, He is so freaky  hyper",0
long weekend is over... looking forward to end of May then,1
"Not to thrilled about the marathon this sunday, they assigned me on the street. Less $$$",0
J Ross you can`t leave the killers still singing and run the titles - you should have been edited out for more music - happy - not,0
"is upset, I left my phone at home again",0
"So, no yarn arriving until Monday and I don`t even know what`s in this shipment.  I have nothing to dye.    Now what?",0
real stressed,0
at school. Rusty just put Oh It Is Love on my ipod. awh,1
_nash Ba-dum-tish!  You win,1
Stupid competition stuff keeps getting in the way  But I am going to get some words in today if it kills me   _writes,0
is very disappointed that cadbury chocolate blocks got smaller,0
Just finished studying for Abnormal Psychology. Eek. I still have two more days. I`ll do more than fine,0
 He`s been doing my makeup for YEARS... long before Tyra stole him away from us.,0
_ho Yay you can eat proper food now!,1
so much for an amazing day...some pervert just ruined it,0
"aww thats wikid, i need to book myne again sooon  miss you to lovely!! im off ned some brekkie.. speak soon dudde ****",1
"... And, I was the only person who stood up for them. The world is full if spineless ****. This makes me sad",0
I hate being young,0
" Yes, that does sound like a distinct advantage. Fortunately, I enjoy being female.",1
Seems like everyone I know is asking for computer help...   kill me now,0
Can`t sleep and nothings on tv!!,0
"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",1
 I think i`m falling in love with you!!  **** #iloveyou,1
my attempt to sync facebook and twitter seems to have failed,0
Had a lovely Mothers Day,1
Brand new is playing at the epicenter in July when I`m in NY. Jesse lacey why do you hate me?,0
"is now following Chester Bennington, awesome!",1
Just saw G.O.D perform I love you I thank you by MC Mong.,1
 I wish they replied to us. July will be utterly amazing!,1
Such a busy day today!! Banbury Fair fashion show tonight and move into my apartment tomorrow! i have no started packing yet,0
Head is throbbing from lack of sleep and still have mucho work. Doesn`t feel like a Friday,0
Done with geology!! But I`m really missing my favorite sisters! Especially because they can`t go to banquet tonight,0
 ohh and Coffee Break is my fave too! they rock!! LOL,1
 Defo can`t wait we will have a nice afternoon and some music,1
i feel extremely depressed right now.,0
i love his nose kisses,1
Not good news  Time for an incredibly hard decision.,0
"  Jane Austen`s books!,    Pride and Prejudice & Emma are great!!, Also  Northanger Abbey!",1
 you can do it,1
 omg me 2 !! Haha i was half an hour late 4 work whoops !! Hahaha i h8 workin sat mornins,0
" I don`t even want to know WHY you know about VHEMT, but don`t go - we`d miss you",0
Sleep is not coming easy. Sleeping pills. Need them. Maybe this is why my mind is soo wild lately. No sleep=craziness. Proven fact!,0
" but ... but it`s michael bay ...*sigh* i`m sorry, love - didn`t know you felt that way about it   XD",0
Sweat is just not cute.  Unfortunately I haven`t figured out how to work out without sweating. BOO.,0
  I want to go to the pub. Boooo.,0
 did you not think of texting me that!? I`ve just read it now lol! Figured out the html on my own.,1
" Haha, she`s up here to stay, it`s nearly 2 hours on the coach for her to get here, may not be convenient for an hour of TV!",0
headache boo,0
" Same here, having a nice, quiet Sunday",1
 anyday! I hate living here!,0
quick catch up on missed Neighbours ... poor Libby,0
" Lol - we`re like polar opposites, Ben! Maybe that`s why we get on so well",1
putting up a half naked dougie poster  i love sugar`s ladmag,1
happy mothers day!  <3,1
 have a awesome day at school!!!,1
" ran 5 miles, went to the gym & woke up Ur great kids....dependable Danny  hope it has been great already",1
I may have come down with something; we`re almost out of tissues!    this is not a good season  http://tinyurl.com/nccqya,0
 star wars ............ is **** BOO??? i wanna do your jobe HAND IT OVER  u can act as me at my high school   LOL,0
A gift to myself. PUBLISHED! Episode 68 Align and Re-Align with Sensitivity Level 1-2 75 min #yoga class  http://bit.ly/8QAgh,1
caught up on emails for my research project.  yay for labels and search in #gmail.  much easier,1
 also just spoke to my <3...              ï¿½tearï¿½,1
 glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.,1
'I think you should know this. He`s going to break up with you. And I just had to tell you. I`m sorry. I know you love him.',0
" I love old school horror movies more, I got Elvira tattooed on my back",1
Dow futures up 60 points in over night trading. Looks like May is off to a good start so far  /f,1
OMG... Folding my laundry and matched ALL socks to its perfect pair!  Good laundry folding day it is,1
 Nice we didn`t see the fireworks but we sure heard `em,1
How do you forgive yourself for hurting the one you love the most?,0
going to bed.   goodnight,1
 hahaha thaanks!  iï¿½m from brazil!,1
"Didn`t win a Lammy last night  but happy for Scott Sherman, who did. Walked my feet off at BEA today.",1
says numbers are all good - all that`s left is the white blood cell count.  http://plurk.com/p/rqo8q,1
own 2nit but i cant go.,0
 Pineapple rocks bud,1
**** traffic. Going to be late!,0
 Ahhhh....  The the wonderful 8-Track adaptor.,1
"Im free at last, tomorrow I get to remember what Sundays look like",1
" im good thanks, may need you`re advice soon as im playing with a new font of my own",1
"I`m bored... Don`t want to stay home tonight, but don`t want to spend money  blah",0
" thanks clair, I haven`t watched it yet.",1
falling asleep and waking to gun shots arent fun,0
 I wish y`all...unfortunately I won`t be able to make it...gotta work my 2nd gig today,0
not in the mood crazii crazii highly upset now with everything & everybody,0
i now know that we`ve made a difference in each others lives...i feel proud.,1
" thanks, I found it already",1
 That sounds good,1
" oh yes, i ave never orderd from there, a lil funny at first to do so, i will check it our ta",1
 awesome! I am at 1505 west lake street: right across from the dunn brothers on lake,1
Kinda bummed that I`m gonna miss `s return to BG. Now I`ll never know what it`s like to make love to _gunn.,0
